,Salary,Designation,JobCity,Gender,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeState,GraduationYear,English,Logical,Quant,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,EXPERIENCE,AGE
28,145000,telecommunication engineer,NOIDA,m,84.0,cbse,2011,68.0,cbse,76,2,B.Tech/B.E.,electronics and communication engineering,72.0,Uttar Pradesh,2015,580,570,385,0.1282,0.7119,1.3933,-0.3612,-0.0943,0,21
29,220000,java software engineer,GURGAON,m,64.0,cbse,2010,74.0,cbse,57,2,B.Tech/B.E.,information technology,68.0,Haryana,2014,485,375,435,-3.1994,-1.8393,0.0552,0.0623,-0.7615,0,23
30,530000,system engineer,HYDERABAD,m,84.0,ssc,2007,92.0,bie,5003,2,B.Tech/B.E.,computer engineering,77.2,Andhra Pradesh,2011,475,405,695,-0.4173,0.6568,-0.0537,-1.2303,-0.9194,4,26
31,340000,software engineer,BANGALORE,m,77.2,state board,2010,86.1,state board,7282,2,B.Tech/B.E.,computer science & engineering,71.0,Tamil Nadu,2014,560,485,450,-0.0154,1.2114,1.0859,-1.5021,0.2889,1,23
32,360000,application developer,NOIDA,f,87.0,cbse,2009,84.4,cbse,8195,1,B.Tech/B.E.,computer engineering,79.3,Delhi,2013,570,475,295,-0.7335,-0.4536,-1.0659,1.1601,-0.4776,2,24
33,145000,ios developer,KOLKATA,m,73.0,state board,2010,68.4,state board,8297,2,B.Tech/B.E.,information technology,74.3,West Bengal,2014,560,530,605,-0.7335,0.5454,-0.7585,-0.6147,1.4386,1,23
34,215000,executive assistant,BANGALORE,f,71.0,cbse,2009,68.0,icse,7869,2,B.Tech/B.E.,computer science & engineering,70.86,Uttar Pradesh,2013,430,510,405,1.5644,1.0449,0.3174,-1.8824,1.0554,0,26
35,350000,online marketing manager,MOHALI,f,85.0,cbse,2008,61.0,cbse,272,2,B.Tech/B.E.,electronics and communication engineering,64.98,Punjab,2011,570,475,430,-0.4854,-0.5213,2.1129,-0.735,1.8224,1,25
36,270000,software engineer,HYDERABAD,f,91.5,state board,2009,93.8,state board,11509,1,B.Tech/B.E.,computer engineering,74.1,Telangana,2013,380,535,530,-1.0208,0.2124,0.4711,0.2727,-0.0943,2,23
37,80000,documentation specialist,GURGAON,m,77.0,cbse,2010,85.4,cbse,272,2,B.Tech/B.E.,electronics and communication engineering,63.9,Punjab,2014,475,605,415,0.2718,0.5454,0.3174,-1.8824,-0.4776,5,22
38,330000,associate software engineer,BANGALORE,m,52.33,state board,2007,67.0,state board,44,2,MCA,computer application,77.15,Uttar Pradesh,2013,450,525,545,-0.0154,1.2114,0.6248,0.7798,0.8637,1,24
39,200000,management trainee,UNKNOWN,m,88.0,kerala state technical education,2008,89.66,kerala state hse board,867,2,B.Tech/B.E.,electronics and communication engineering,76.4,Kerala,2012,510,640,635,0.3941,1.2808,0.2366,-2.1998,-0.4455,0,24
40,120000,site manager,JHANSI,m,66.6,cbse,2007,68.6,up board,105,2,B.Tech/B.E.,mechanical engineering,60.22,Uttar Pradesh,2011,425,595,475,-0.4173,0.3448,0.0914,-0.4078,0.6603,1,26
41,145000,software developer,DELHI,m,75.0,cbse,2009,60.0,cbse,105,2,B.Tech/B.E.,computer science & engineering,66.0,Uttar Pradesh,2014,380,545,460,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356,0,23
42,350000,associate software engineer,BANGALORE,m,91.4,icse,2010,73.0,cbse,119,1,B.Tech/B.E.,information technology,71.0,Uttar Pradesh,2014,555,560,825,-0.0154,0.2578,-0.5349,-1.1218,-1.359,1,24
43,120000,.net developer,HYDERABAD,m,59.0,state board,2010,87.7,state board,16150,2,B.Tech/B.E.,electronics and communication engineering,71.04,Telangana,2014,300,340,355,-0.0154,-2.4516,-0.4511,0.2727,-3.1602,1,22
44,380000,programmer analyst,BANGALORE,f,84.5,cbse,2007,82.5,cbse,3461,2,B.Tech/B.E.,computer engineering,92.1,Karnataka,2011,425,525,515,0.51,0.6568,-0.6343,0.2973,0.1864,3,26
45,110000,production engineer,CHENNAI,m,95.8,state board,2010,87.16,state board,482,2,B.Tech/B.E.,mechanical engineering,79.0,Tamil Nadu,2014,430,395,500,-0.5899,-1.1196,0.4711,-0.7415,-1.4356,1,23
46,205000,junior software engineer,NOIDA,f,85.6,cbse,2008,82.0,cbse,13094,2,B.Tech/B.E.,computer science & engineering,74.01,Haryana,2012,370,495,455,0.1282,0.5454,0.1637,-0.4879,0.8637,2,24
47,95000,software developer,DELHI,m,69.6,bseb,2008,71.4,bseb,3054,2,B.Tech/B.E.,computer engineering,77.0,Orissa,2012,485,415,575,-0.4173,0.6568,-0.7794,1.7074,0.1864,1,23
48,390000,software engineer,BANGALORE,m,86.6,cbse,2009,75.0,cbse,11637,2,B.Tech/B.E.,computer science & engineering,74.0,Madhya Pradesh,2013,505,545,565,-2.5039,0.0328,0.3817,0.26793,0.5024,2,24
49,270000,quality analyst,BANGALORE,m,81.92,state board,2007,61.46,state board,1109,2,B.Tech/B.E.,information technology,57.54,Karnataka,2011,565,465,415,1.2828,1.7488,1.8331,-2.2879,1.1343,2,26
50,60000,trainee software developer,BHUBANESWAR,f,66.5,cbse,2005,49.5,chse,889,2,MCA,computer application,89.7,Orissa,2011,505,505,485,-1.0355,0.0328,-2.2308,1.0024,0.3444,2,27
51,120000,ui developer,HYDERABAD,m,80.0,state board,2009,72.5,state board,12867,2,B.Tech/B.E.,electronics and computer engineering,57.8,Andhra Pradesh,2013,580,485,455,-0.4463,-0.1206,-1.0659,-0.1076,-1.244,0,24
52,400000,software engineer,NAVI MUMBAI,m,85.2,icse,2010,81.5,icse,8350,2,B.Tech/B.E.,computer science & engineering,57.64,Uttar Pradesh,2014,545,385,485,1.1336,0.3789,1.0859,0.653,0.2889,0,23
53,350000,assistant system engineer,MUMBAI,m,89.25,state board,2010,78.0,state board,2066,2,B.Tech/B.E.,electrical engineering,80.0,West Bengal,2014,570,510,545,-0.159,-0.1206,-0.6048,-1.6289,-1.4356,1,24
54,120000,android developer,DELHI,f,58.4,cbse,2008,64.8,cbse,85,2,MCA,computer application,80.0,Haryana,2014,440,415,554,0.335,0.0924,-0.6582,-0.4821,-0.1543,1,23
55,250000,software engineer,MANGALORE,m,90.8,state board,2010,90.1,state board,12832,2,B.Tech/B.E.,computer science & engineering,67.7,Karnataka,2014,525,530,595,-0.3027,0.7119,-0.2974,1.1601,-0.4776,1,23
56,240000,customer service,REWARI,f,78.0,cbse,2006,70.1,cbse,166,2,B.Tech/B.E.,electronics and communication engineering,68.2,Haryana,2011,415,595,495,0.8192,-0.0842,-0.598,-0.6428,-0.6035,2,26
57,525000,test engineer,HYDERABAD,f,89.88,cbse,2007,95.4,cbse,1027,2,B.Tech/B.E.,electronics and communication engineering,80.8,Telangana,2011,555,475,635,0.3555,-0.2793,-0.6343,-0.2902,-0.2875,3,26
58,200000,project engineer,GHAZIABAD,m,63.3,state board,2008,61.1,state board,11386,2,B.Tech/B.E.,electronics and communication engineering,66.9,Uttar Pradesh,2013,420,510,665,-1.0208,-0.6201,-0.2974,-0.1076,-1.244,1,25
59,120000,software engineer,BANGALORE,m,72.0,cbse,1995,49.0,puc,712,2,B.Tech/B.E.,computer engineering,55.0,Karnataka,2011,640,460,250,-0.3014,-0.4353,-0.9245,-0.349,-0.4455,4,38
60,305000,software engineer,CHENNAI,f,83.0,state board,2009,79.0,state board,9173,2,B.Tech/B.E.,information technology,70.0,Telangana,2013,430,410,310,-0.159,-0.1206,0.1637,1.5404,-0.0943,2,24
61,300000,java developer,CHENNAI,m,85.3,state board,2010,88.3,state board,434,2,B.Tech/B.E.,computer science & engineering,85.0,Tamil Nadu,2014,370,375,325,1.8517,1.5444,0.3174,0.3995,0.6721,1,22
62,145000,engineer,NOIDA,f,81.0,cbse,2009,77.8,cbse,11942,2,B.Tech/B.E.,electronics and communication engineering,65.35,Uttar Pradesh,2014,535,510,390,-1.1644,-0.9531,0.01,-0.7415,-0.8608,1,24
63,150000,management trainee,BHIWADI,m,60.66,up,2008,62.4, upboard,9738,2,B.Tech/B.E.,mechanical engineering,69.3,Uttar Pradesh,2013,370,410,470,-2.2351,-2.6847,-2.6028,0.3995,-5.477,1,23
64,600000,java software engineer,GURGAON,m,78.0,cbse,2004,83.0,cbse,2,1,B.Tech/B.E.,information technology,72.13,Delhi,2010,444,555,695,0.6646,0.3448,0.8171,0.6498,0.0284,2,29
65,310000,system engineer,MYSORE,m,89.37,state board,2009,79.0,state board,2085,2,B.Tech/B.E.,applied electronics and instrumentation,70.0,West Bengal,2013,630,580,510,0.99,1.2114,-0.2974,-1.1218,1.247,0,25
66,455000,system engineer,BANGALORE,m,90.0,"state board of secondary education, andhra pradesh",2006,94.4,"state  board of intermediate education, andhra pradesh",1396,2,B.Tech/B.E.,electronics and communication engineering,76.12,Andhra Pradesh,2010,505,525,595,-0.2628,-0.1232,0.0914,-1.2303,-0.1295,2,26
67,400000,test engineer,BANGALORE,f,81.0,icse,2010,79.0,icse,64,2,B.Tech/B.E.,electronics and communication engineering,71.5,Uttar Pradesh,2014,510,500,575,-1.8825,-3.7836,-2.4491,0.9066,-1.8189,1,24
68,150000,recruitment coordinator,CHENNAI,f,78.0,matriculation,2006,86.67,state board,4173,2,B.Tech/B.E.,instrumentation and control engineering,77.55,Tamil Nadu,2010,535,465,535,-0.880999999999999,1.4368,0.3817,-0.4078,-0.1295,2,26
69,250000,software developer,MANGALORE,m,84.4,cbse,2011,73.2,cbse,272,2,B.Tech/B.E.,computer science & engineering,70.0,Punjab,2015,570,410,535,-0.0154,0.8784,0.01,-0.7415,-0.2859,0,22
70,320000,system engineer,CHENNAI,m,89.0,state board,2009,92.0,state board,14382,2,B.Tech/B.E.,electrical engineering,76.4,Telangana,2013,625,645,605,-1.4517,-1.4526,-1.2196,1.794,-2.3937,1,23
71,250000,java software engineer,RAJKOT,m,86.0,gujarat state board,2008,64.0,state board,9564,2,B.Tech/B.E.,information technology,61.17,Gujarat,2013,665,545,415,1.1336,1.3779,2.1617,-0.995,1.0554,1,25
72,200000,technical support engineer,BANGALORE,m,85.0,icse,2010,75.0,cbse,319,2,B.Tech/B.E.,computer science & engineering,60.0,Karnataka,2014,675,480,500,1.1336,1.0449,0.1637,-1.2486,0.0973,1,23
73,240000,android developer,NOIDA,m,75.0,cbse,2009,64.0,cbse,184,2,B.Tech/B.E.,computer science & engineering,67.0,Uttar Pradesh,2014,510,480,485,-0.159,0.8784,1.2396,0.2727,-0.6692,1,23
74,120000,data analyst,INDORE,f,86.0,state board,2009,77.0,state board,4973,2,B.Tech/B.E.,computer science & engineering,75.0,Madhya Pradesh,2013,325,510,295,0.1282,0.0459,0.1637,0.0192,-0.0943,0,24
75,300000,programmer analyst,BANGALORE,m,70.6,cbse,2010,78.67,state board,182,2,B.Tech/B.E.,electronics and communication engineering,75.84,Karnataka,2014,580,485,510,0.5591,0.2124,-1.2196,-0.7415,-0.8608,1,23
76,800000,software engineer,BANGALORE,m,93.44,karnataka state board,2008,90.0,karnataka state board,1384,2,B.Tech/B.E.,computer engineering,87.6,Karnataka,2012,515,475,635,-0.4173,0.9688,-0.1988,-0.2902,0.3049,3,24
77,120000,test engineer,UNKNOWN,m,76.0,state board,2009,72.0,state board,8888,2,B.Tech/B.E.,computer science & engineering,63.2,Tamil Nadu,2013,510,355,340,-0.159,-0.2871,0.4711,0.2727,-0.4776,1,23
78,325000,system engineer,MYSORE,f,86.4,cbse,2010,78.2,cbse,6982,2,B.Tech/B.E.,electronics and communication engineering,73.5,Karnataka,2014,535,435,440,0.8463,1.3779,1.3933,0.653,-0.2859,1,22
79,100000,software developer,UNKNOWN,f,86.0,state board,2009,95.0,state board,4726,2,B.Tech/B.E.,electronics and communication engineering,78.6,Telangana,2013,405,545,450,0.5591,-0.4536,0.01,-0.4879,0.6721,1,23
80,300000,assistant software engineer,BANGALORE,m,84.83,cbse,2010,82.4,cbse,903,2,B.Tech/B.E.,computer science & engineering,74.14,Uttar Pradesh,2014,665,595,705,-0.4463,0.2124,0.3174,-1.5021,-0.2859,1,23
81,280000,faculty,DELHI,m,72.3,icse,2008,60.2,cbse,8546,2,B.Tech/B.E.,electronics and communication engineering,69.38,Rajasthan,2013,555,475,415,1.4208,0.5454,-0.2974,1.0333,-0.6692,1,25
82,215000,entry level management trainee,DELHI,f,69.0,cbse,2005,62.6,cbse,5605,2,B.Tech/B.E.,electrical engineering,76.25,Madhya Pradesh,2010,395,455,475,-0.4173,0.1888,-0.4891,0.4148,0.8183,1,28
83,145000,customer service representative,JAIPUR,m,80.0,state board,2010,70.0,state board,9699,2,B.Tech/B.E.,electronics and communication engineering,55.0,Rajasthan,2014,430,450,385,0.1282,-0.1206,0.9322,1.5404,0.0973,0,22
84,445000,software test engineer,PUNE,f,73.33,cbse,2004,71.33,cbse,331,2,MCA,computer application,61.0,Maharashtra,2010,375,535,534,-2.272,-0.2793,-1.2148,0.8848,-0.7615,4,28
85,315000,firmware engineer,NOIDA,m,86.16,cbse,2011,70.08,cbse,7376,2,B.Tech/B.E.,electronics and communication engineering,63.13,Uttar Pradesh,2015,455,595,500,0.99,1.0449,1.7007,-2.0092,0.2889,0,22
86,100000,php developer,KOLKATA,f,75.0,state board,2010,78.0,west bengal state council of technical education,12992,2,B.Tech/B.E.,computer engineering,71.1,West Bengal,2013,415,440,355,0.8463,1.3779,1.0859,-0.995,1.247,2,28
87,200000,software developer,NOIDA,m,56.0,cbse,2009,56.0,state board,51,2,MCA,computer application,62.0,Uttar Pradesh,2015,605,470,355,0.7027,0.8784,0.3174,-1.1218,0.4805,0,23
88,220000,research associate,HYDERABAD,f,87.0,cbse,2008,60.0,cbse,973,2,B.Tech/B.E.,computer science & engineering,70.82,Uttar Pradesh,2013,640,605,400,0.8463,1.2114,1.2396,-0.1076,1.247,1,23
89,370000,project engineer,KOLKATA,m,79.25,wbbse,2008,80.0,wbchse,6814,2,B.Tech/B.E.,information technology,79.9,West Bengal,2012,545,580,430,0.8192,1.0858,-0.4891,-0.7603,-0.1295,2,24
90,145000,research analyst,PUNE,m,88.66,maharashtra state board,2008,84.33,maharashtra state board,7236,2,B.Tech/B.E.,electronics & telecommunications,60.0,Maharashtra,2012,495,565,575,1.2828,1.7878,1.1437,-0.6428,0.5024,2,24
91,275000,quality engineer,BANGALORE,m,80.8,state board,2009,75.0,state board,6836,2,B.Tech/B.E.,electronics and communication engineering,77.38,Karnataka,2013,405,470,370,1.4208,-0.7866,-0.1437,-1.5021,-0.4776,1,24
92,1500000,application developer,HYDERABAD,m,79.0,state board,2009,87.9,state board,9557,2,B.Tech/B.E.,computer science & engineering,66.0,Telangana,2013,315,435,355,0.4155,0.5454,0.9322,-0.6147,0.8637,0,23
93,325000,software engineer,GURGAON,m,70.0,icse,2010,65.0,cbse,1139,2,B.Tech/B.E.,information technology,66.0,Chhattisgarh,2014,405,470,545,0.4155,0.3789,-0.9122,-1.1218,-0.8608,1,23
94,275000,programmer,BANGALORE,m,81.16,icse,2008,68.5,icse,1087,2,B.Tech/B.E.,applied electronics and instrumentation,61.5,Orissa,2013,605,520,325,1.4208,1.2114,0.6248,-0.995,-0.2859,0,25
95,425000,system engineer,HYDERABAD,f,83.5,ssc,2008,94.2,ssc,5071,2,B.Tech/B.E.,information technology,88.2,Andhra Pradesh,2012,515,475,445,0.6646,1.4368,-0.0537,0.884829999999999,0.5024,3,25
96,450000,software engineer,BANGALORE,m,65.0,icse board,2006,66.0,isc board,501,2,B.Tech/B.E.,information technology,64.0,Uttar Pradesh,2010,515,565,554,-0.7264,0.1888,-1.2148,-0.5253,1.1343,3,27
97,300000,software developer,BANGALORE,f,88.0,state board,2010,88.0,state board,9282,2,B.Tech/B.E.,computer science & engineering,70.12,Andhra Pradesh,2014,710,605,605,0.5591,1.2114,1.8543,0.1459,0.0973,1,23
98,470000,senior system engineer,JAIPUR,m,79.0,cbse,2006,76.6,cbse,996,2,B.Tech/B.E.,information technology,77.85,Rajasthan,2010,635,495,495,0.8192,-0.5913,0.2366,-0.7603,-0.1295,4,27
99,120000,technical support executive,UNKNOWN,m,55.6,state board,2005,50.8,state board,12992,2,MCA,computer application,80.03,West Bengal,2014,440,425,370,-0.0154,0.8784,1.2396,1.2869,0.8637,1,27
100,300000,business analyst,BANGALORE,m,75.0,state board,2008,72.0,state board,7738,2,B.Tech/B.E.,information technology,80.0,Uttar Pradesh,2013,475,470,415,0.8463,1.0449,1.3933,-1.6289,-0.2859,0,23
101,205000,electrical engineer,CHENNAI,m,84.6,cbse,2006,66.5,cbse,417,2,B.Tech/B.E.,electronics and electrical engineering,66.7,Tamil Nadu,2010,345,255,395,-0.1082,0.0328,-0.1988,0.2973,-0.7615,4,26
102,310000,software engineer,PUNE,m,79.0,state board,2008,76.4,state board,11583,2,B.Tech/B.E.,electronics and communication engineering,65.0,Maharashtra,2012,605,510,515,1.7081,0.8784,1.547,-1.6289,-0.0943,2,26
103,300000,quality analyst,UNKNOWN,f,62.0,cbse,2012,61.0,cbse,2637,2,B.Tech/B.E.,computer engineering,70.0,Haryana,2013,250,305,385,-0.5116,0.8229,0.8809,0.0192,1.6302,1,24
104,460000,technical support engineer,UNKNOWN,m,62.0,state board,2007,61.0,state board,272,2,M.Tech./M.E.,computer science & engineering,63.0,Punjab,2013,465,595,605,-1.1644,-1.6191,-1.2196,-0.1076,-2.2021,2,25
105,320000,assistant system engineer,UNKNOWN,m,86.0,state board,2010,92.0,state board,1947,2,B.Tech/B.E.,electronics and communication engineering,72.0,Andhra Pradesh,2014,350,590,570,0.8463,0.0459,-0.2974,-0.7415,-0.4776,0,22
106,340000,application developer,NAVI MUMBAI,f,85.8,cbse,2010,65.8,cbse,7627,2,B.Tech/B.E.,information technology,69.7,Uttar Pradesh,2014,615,630,750,0.8463,1.0449,0.01,-0.2344,0.4805,1,22
107,120000,android developer,NOIDA,m,68.4,state board,2008,61.0,state board,982,2,B.Tech/B.E.,computer science & engineering,62.2,Rajasthan,2013,440,375,330,-1.7389,-1.2861,-0.4511,0.7798,-1.8189,1,23
108,100000,web developer,NOIDA,m,51.0,up board,2004,48.0,up board,350,2,MCA,computer application,59.0,Uttar Pradesh,2010,275,365,395,0.2009,-0.2793,0.2366,1.4724,0.0284,1,30
109,510000,application engineer,NOIDA,m,79.6,cbse,2009,73.2,cbse,4948,2,B.Tech/B.E.,electronics and communication engineering,66.96,Rajasthan,2014,535,640,630,-1.1644,0.2124,0.3174,0.9066,-0.4776,1,24
110,300000,production engineer,INDORE,m,63.4,state board,2008,63.0,state board,6595,2,B.Tech/B.E.,electronics & instrumentation eng,69.3,Madhya Pradesh,2012,360,350,320,-0.4463,-1.1196,-1.6807,-0.4879,-1.244,3,26
111,480000,senior system engineer,MYSORE,m,86.53,board of secondary education(bse) orissa,2007,71.55,chse,6570,2,B.Tech/B.E.,computer engineering,78.5,Orissa,2011,515,505,454,-0.1082,0.9688,0.8171,-0.8778,0.3444,4,26
112,170000,project coordinator,UNKNOWN,f,76.18,little jacky matric higher secondary school,2007,86.33,sda matric higher secondary school,1034,2,B.Tech/B.E.,computer engineering,73.46,Tamil Nadu,2011,485,545,385,0.3555,1.2808,0.2366,1.3549,1.2923,1,26
113,340000,software engineer,HYDERABAD,m,91.43,icse,2009,74.0,cbse,5666,2,B.Tech/B.E.,computer science & engineering,70.0,Telangana,2016,665,460,570,0.4155,0.3789,-0.1437,-0.7415,-0.2859,0,24
114,640000,programmer analyst,BANGALORE,m,78.0,cbse,2004,71.3,cbse,5400,2,B.Tech/B.E.,information technology,67.0,Madhya Pradesh,2009,455,605,625,-0.2628,-0.5913,0.2366,-0.1727,0.8183,5,28
115,330000,software engineer,CHENNAI,m,76.17,state board,2009,72.0,cbse,10991,2,B.Tech/B.E.,computer science & engineering,78.0,Rajasthan,2013,510,535,605,0.4155,-0.7866,-1.2196,1.1601,-1.8189,2,23
116,225000,system engineer,THANE,m,82.4,cbse,2010,72.0,cbse,8350,2,B.Tech/B.E.,electronics and communication engineering,64.06,Uttar Pradesh,2014,485,525,545,-0.0154,0.3789,0.6248,0.9066,0.6721,1,25
117,180000,software developer,NOIDA,m,58.0,uttar pradesh board,2004,57.6,uttar pradesh board,6874,2,B.Tech/B.E.,computer engineering,61.9,Uttarakhand,2011,265,375,365,0.8192,0.8128,-0.1988,0.1798,-0.2875,0,30
118,440000,application developer,BANGALORE,f,79.0,cbse,2007,83.4,cbse,8286,2,B.Tech/B.E.,electronics and communication engineering,72.7,Jammu and Kashmir,2012,535,485,525,0.3555,0.6178,0.7083,0.2973,-0.2875,3,25
119,305000,software engineer,BANGALORE,f,90.04,cbse,2008,75.16,cbse,3801,2,B.Tech/B.E.,electronics & instrumentation eng,77.0,Karnataka,2012,505,495,615,-0.0696,0.0328,-0.1988,0.0035,-0.9194,1,25
120,500000,software engineer,GURGAON,f,76.0,cbse,2008,76.6,cbse,12104,2,B.Tech/B.E.,computer engineering,77.58,Haryana,2012,595,645,495,-2.5811,-0.2012,0.5994,0.1798,0.1864,3,24
121,270000,network engineer,MYSORE,m,60.4,cbse,2006,60.0,cbse,75,2,B.Tech/B.E.,electronics and communication engineering,62.0,Uttar Pradesh,2010,395,425,395,-0.2628,0.3448,-0.1988,0.5323,0.6603,0,27
